ID,Time Spent On TV,Number Of Meals Per Day,Change In Weight,Health Issue During Lockdown,Stress Busters,Time Utilized,Connection Status,Activities Missed (Most),Age Group
0,1,4,Increased,NO,Leisure and Entertainment,YES,YES,Education,Young Adults
1,0,3,Decreased,NO,Social Media,YES,NO,Personal Exploration,Young Adults
2,0,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Travel and Exploration,Young Adults
3,0,3,Decreased,NO,Watching videos,NO,NO,Social Interactions,Young Adults
4,1,4,Remain Constant,NO,Social Media,NO,NO,Travel and Exploration,Young Adults
5,0,1,Decreased,YES,Coding and studying for exams,NO,YES,Education,Young Adults
6,0,3,Increased,NO,Watching videos,NO,YES,Social Interactions,Pre-Teens
7,0,3,Increased,YES,Social Media,NO,YES,Dining and Entertainment,Pre-Teens
8,1,3,Increased,NO,Gaming,NO,NO,Social Interactions,Young Adults
9,3,3,Decreased,YES,Watching videos,NO,NO,Education,Young Adults
10,1,4,Remain Constant,NO,Social Media,NO,NO,Social Interactions,Young Adults
11,1,2,Increased,YES,Watching videos,YES,YES,Dining and Entertainment,Young Adults
12,0,3,Increased,YES,Leisure and Entertainment,NO,NO,Education,Young Adults
13,0.5,2,Increased,NO,Reading books,YES,YES,Travel and Exploration,Young Adults
14,0,3,Remain Constant,NO,Social Media,NO,NO,Dining and Entertainment,Young Adults
15,1,3,Increased,NO,Gaming,YES,YES,Dining and Entertainment,Young Adults
16,1,3,Increased,NO,Gaming,NO,YES,Social Interactions,Young Adults
17,0,3,Remain Constant,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
18,0,2,Remain Constant,NO,Reading books,NO,NO,Social Interactions,Young Adults
19,0,3,Increased,NO,Exercise,YES,YES,Social Interactions,Young Adults
20,1,2,Decreased,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
21,2,3,Remain Constant,NO,Communication with others,YES,NO,Education,Young Adults
22,1,4,Decreased,NO,Watching videos,NO,YES,Education,Young Adults
23,0,3,Decreased,NO,Exercise,YES,YES,Travel and Exploration,Young Adults
24,1,3,Decreased,NO,Reading books,YES,NO,Education,Young Adults
25,3,2,Increased,NO,Communication with others,YES,YES,Dining and Entertainment,Young Adults
26,0,2,Increased,YES,Leisure and Entertainment,NO,YES,Education,Young Adults
27,0,2,Remain Constant,NO,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
28,0.5,3,Remain Constant,NO,Leisure and Entertainment,YES,YES,Work and Career,Adults
29,0,4,Remain Constant,NO,Leisure and Entertainment,NO,NO,Social Interactions,Young Adults
30,1,2,Decreased,YES,Leisure and Entertainment,YES,YES,Personal Exploration,Pre-Teens
31,0,2,Decreased,NO,Reading books,YES,YES,Travel and Exploration,Young Adults
32,0,3,Remain Constant,NO,Watching videos,YES,NO,Personal Reflection,Young Adults
33,0.5,3,Decreased,YES,Watching videos,YES,YES,Social Interactions,Young Adults
34,0,4,Increased,NO,Communication with others,YES,NO,Dining and Entertainment,Young Adults
35,1,3,Remain Constant,NO,Leisure and Entertainment,NO,YES,Social Interactions,Young Adults
36,0,3,Decreased,NO,Reading books,NO,YES,Travel and Exploration,Pre-Teens
37,0,3,Increased,NO,Sleeping,NO,YES,Dining and Entertainment,Young Adults
38,2,3,Increased,NO,Leisure and Entertainment,NO,YES,Education,Young Adults
39,0,3,Increased,NO,Reading books,NO,YES,Travel and Exploration,Young Adults
40,0,4,Increased,NO,Social Media,YES,YES,Travel and Exploration,Young Adults
41,1,4,Remain Constant,NO,Watching videos,YES,NO,Travel and Exploration,Young Adults
42,2,4,Remain Constant,YES,Leisure and Entertainment,NO,NO,Personal Exploration,Young Adults
43,0,2,Increased,NO,Leisure and Entertainment,NO,NO,Dining and Entertainment,Young Adults
44,0,4,Remain Constant,NO,Sleeping,NO,NO,Social Interactions,Pre-Teens
45,0,4,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
46,3,6,Decreased,NO,Leisure and Entertainment,YES,NO,Personal Exploration,Young Adults
47,0,3,Decreased,YES,Reading books,NO,NO,Education,Young Adults
48,0,4,Increased,NO,Leisure and Entertainment,YES,YES,Travel and Exploration,Young Adults
49,0,3,Remain Constant,NO,Social Media,YES,YES,Social Interactions,Pre-Teens
50,2,3,Remain Constant,YES,Gaming,NO,YES,Education,Pre-Teens
51,0,3,Remain Constant,NO,Reading books,NO,YES,Personal Exploration,Young Adults
52,0,3,Increased,NO,Gaming,NO,NO,Social Interactions,Young Adults
53,0.5,4,Remain Constant,NO,Reading books,YES,YES,Personal Exploration,Pre-Teens
54,2,4,Remain Constant,NO,Sleeping,YES,YES,Sports and Activities,Young Adults
55,0,3,Increased,YES,Watching videos,YES,YES,Personal Exploration,Pre-Teens
56,0,4,Increased,NO,Leisure and Entertainment,NO,YES,Social Interactions,Pre-Teens
57,2,3,Increased,NO,Gaming,YES,YES,Education,Pre-Teens
58,0,3,Increased,YES,Leisure and Entertainment,NO,YES,Education,Young Adults
59,1,3,Remain Constant,NO,Gaming,YES,NO,Dining and Entertainment,Young Adults
60,0,2,Increased,NO,Watching videos,YES,NO,Social Interactions,Young Adults
61,2,4,Increased,NO,Sleeping,YES,YES,Personal Exploration,Young Adults
62,0,1,Remain Constant,NO,Unable to reduce stress,NO,YES,Social Interactions,Pre-Teens
63,0,3,Increased,NO,Watching videos,NO,YES,Education,Young Adults
64,1,4,Decreased,NO,Leisure and Entertainment,YES,YES,Personal Exploration,Young Adults
65,1,3,Increased,NO,Leisure and Entertainment,NO,YES,Dining and Entertainment,Young Adults
